Well,DELTA,FLUO^O,STDEV%,STDEV
5- D7,0.006406302,5268.25,208.4926208,0.015617511
5- D8,-0.01314733,4982,-79.4197089,0.010384099
5- D9,0.008792742,1791.25,167.685856,0.014947775
5- D10,0.422564821,2140.5,3.839898656,0.016235848
5- D11,0.426287223,1704.25,2.04166597,0.008705796
5- D12,-0.010581805,6449.75,-93.16191541,0.009008233
5- E1,0.385832398,2449.25,4.839198972,0.018675638
5- E2,0.38714938,1533,8.540734827,0.033114716
5- E3,0.385086042,1961.25,3.202111971,0.012331854
5- E4,-0.009733149,6164.5,-110.3687104,0.010445143
5- E5,0.453416149,1650.25,4.86275172,0.022061203
5- E6,-0.005051143,1979.75,-176.7863737,0.008780764
5- E7,0.000580804,3443.5,1957.205736,0.015495643
5- E8,0.004039044,2971,125.5285665,0.005041216
5- E9,0.386319218,383.75,10.92141452,0.042379083
5- E10,-0.001732857,7069.25,-361.661896,0.00629627
5- E11,0.467381368,3008.25,5.541387085,0.026078444
5- E12,0.021567185,5436.5,52.40900103,0.011285138
5- F1,-0.005584223,3536.75,-379.0798094,0.019567559
5- F2,0.427414517,2500.5,4.577696168,0.019564729
5- F3,0.359593023,860,8.356801513,0.030101836
5- F4,0.454930255,2598.75,2.777503016,0.012632636
5- F5,0.619864795,1442.25,6.769788491,0.042255943
5- F6,0.002597953,4715.25,287.118561,0.007742039
5- F7,0.043631778,5947.5,36.80746866,0.015997564
5- F8,0.258426966,200.25,26.20239303,0.067875659
5- F9,0.435138429,1435.75,3.026414491,0.01317749
5- F10,0.001485884,841.25,1389.222257,0.020888188
5- F11,-0.001977587,1137.75,-2249.707156,0.027744691
5- F12,0.033879781,457.5,74.67351435,0.027014068
5- G1,-0.018083878,1299.5,-75.13964375,0.013444928
5- G2,0.319543509,350.5,10.321138,0.032984337
5- G3,0.450717703,1828.75,3.138631044,0.014150198
5- G4,0.056846913,3065.25,24.10946286,0.013691543
5- G5,0.120424724,2896,9.449890731,0.011375129
5- G6,0.433481153,451,15.11076918,0.066083938
5- G7,-0.004271874,6554.5,-185.2247534,0.008057626
5- G8,0.005409474,5314.75,104.8746103,0.005777626
5- G9,0.003592022,2644.75,526.674348,0.015069848
5- G10,0.483210672,1087,5.822116594,0.028124545
5- G11,0.407058824,318.75,5.954212735,0.024221911
5- G12,0.37232525,1226.75,4.572870514,0.017033023
5- H1,0.446325975,2480.25,10.58390391,0.047346141
5- H2,-0.032335591,3432.75,-57.07692996,0.018214441
5- H3,-0.006332837,7224.25,-168.9574415,0.010801125
5- H4,-0.012335939,3485.75,-127.4100971,0.015582933
5- H5,0.139447748,3069.25,14.55895515,0.020298674
5- H6,0.008496327,2824.75,70.69396616,0.006040869
5- H7,-0.002307604,4333.5,-374.1347032,0.008070339
5- H8,-0.011971753,4531.5,-141.6397934,0.016623217
5- H9,0.462338013,3704,2.892940186,0.013373198
5- H10,0.386945588,2187,1.403454762,0.005429666
5- H11,0.673913043,23,41.73591446,0.28361451
5- H12,-0.06097561,20.5,-258.1530338,0.161679695
6- A1,-0.018162496,2587.75,-50.67632076,0.009281241
6- A2,0.005105417,2644.25,437.1098739,0.022547455
6- A3,-0.044455586,5983.5,-23.3722748,0.010384091
6- A4,-0.029946288,3397.75,-36.1103092,0.01147104
6- A5,-0.028019234,5407,-82.14734553,0.022962832
6- A6,0.456907216,1818.75,6.11562891,0.027960851
6- A7,-0.020157167,9289.5,-34.26042508,0.006838908
6- A8,-0.009383378,1119,-154.2899175,0.014342367
6- A9,-0.031492619,2286.25,-43.3002416,0.01363134
6- A10,-0.005225689,3301,-473.3959197,0.023241159
6- A11,0.353496115,450.5,10.07523786,0.035594714
6- A12,-0.021813666,9260.25,-61.33961766,0.01329289
